graph_id,n,actions,case,base_seed,display_seed,rng_seed,requested_s,min_actual_s,max_actual_s,avg_actual_s,min_cost,max_cost
medium_n20_s2_a3_case0_seed42,20,3,0,42,42,42183752,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case1_seed43,20,3,1,42,43,42183753,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case2_seed44,20,3,2,42,44,42183754,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case3_seed45,20,3,3,42,45,42183755,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case4_seed46,20,3,4,42,46,42183756,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case5_seed47,20,3,5,42,47,42183757,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case6_seed48,20,3,6,42,48,42183758,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case7_seed49,20,3,7,42,49,42183759,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case8_seed50,20,3,8,42,50,42183760,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case9_seed51,20,3,9,42,51,42183761,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case10_seed52,20,3,10,42,52,42183762,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case11_seed53,20,3,11,42,53,42183763,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case12_seed54,20,3,12,42,54,42183764,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case13_seed55,20,3,13,42,55,42183765,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case14_seed56,20,3,14,42,56,42183766,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case15_seed57,20,3,15,42,57,42183767,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case16_seed58,20,3,16,42,58,42183768,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case17_seed59,20,3,17,42,59,42183769,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case18_seed60,20,3,18,42,60,42183770,2,1,2,1.789474,1.0,20.0
medium_n20_s2_a3_case19_seed61,20,3,19,42,61,42183771,2,1,2,1.789474,1.0,20.0
medium_n50_s2_a3_case0_seed42,50,3,0,42,42,42459032,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case1_seed43,50,3,1,42,43,42459033,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case2_seed44,50,3,2,42,44,42459034,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case3_seed45,50,3,3,42,45,42459035,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case4_seed46,50,3,4,42,46,42459036,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case5_seed47,50,3,5,42,47,42459037,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case6_seed48,50,3,6,42,48,42459038,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case7_seed49,50,3,7,42,49,42459039,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case8_seed50,50,3,8,42,50,42459040,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case9_seed51,50,3,9,42,51,42459041,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case10_seed52,50,3,10,42,52,42459042,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case11_seed53,50,3,11,42,53,42459043,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case12_seed54,50,3,12,42,54,42459044,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case13_seed55,50,3,13,42,55,42459045,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case14_seed56,50,3,14,42,56,42459046,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case15_seed57,50,3,15,42,57,42459047,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case16_seed58,50,3,16,42,58,42459048,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case17_seed59,50,3,17,42,59,42459049,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case18_seed60,50,3,18,42,60,42459050,2,1,2,1.918367,1.0,20.0
medium_n50_s2_a3_case19_seed61,50,3,19,42,61,42459051,2,1,2,1.918367,1.0,20.0
medium_n100_s2_a3_case0_seed42,100,3,0,42,42,42917832,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case1_seed43,100,3,1,42,43,42917833,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case2_seed44,100,3,2,42,44,42917834,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case3_seed45,100,3,3,42,45,42917835,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case4_seed46,100,3,4,42,46,42917836,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case5_seed47,100,3,5,42,47,42917837,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case6_seed48,100,3,6,42,48,42917838,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case7_seed49,100,3,7,42,49,42917839,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case8_seed50,100,3,8,42,50,42917840,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case9_seed51,100,3,9,42,51,42917841,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case10_seed52,100,3,10,42,52,42917842,2,1,2,1.909091,1.0,20.0
