graph_id,n,total_actions,total_transitions,algorithm,runtime_ms,iterations,converged,success,avg_value
medium_n100_s2_a3_case0_seed42,100,297,567,vi,0.046798,8,1,1,23.871201
medium_n100_s2_a3_case0_seed42,100,297,567,pi,0.183877,5,1,1,23.871201
medium_n100_s2_a3_case0_seed42,100,297,567,dijkstra,0.081584,100,1,1,23.871201
medium_n100_s2_a3_case10_seed52,100,297,567,vi,0.036299,8,1,1,24.184298
medium_n100_s2_a3_case10_seed52,100,297,567,pi,0.170873,5,1,1,24.184298
medium_n100_s2_a3_case10_seed52,100,297,567,dijkstra,0.073619,100,1,1,24.184298
medium_n100_s2_a3_case11_seed53,100,297,567,vi,0.033643,7,1,1,27.422619
medium_n100_s2_a3_case11_seed53,100,297,567,pi,0.168478,5,1,1,27.422619
medium_n100_s2_a3_case11_seed53,100,297,567,dijkstra,0.078658,100,1,1,27.422619
medium_n100_s2_a3_case12_seed54,100,297,567,vi,0.035477,8,1,1,22.831765
medium_n100_s2_a3_case12_seed54,100,297,567,pi,0.138130,4,1,1,22.831765
medium_n100_s2_a3_case12_seed54,100,297,567,dijkstra,0.075101,100,1,1,22.831765
medium_n100_s2_a3_case13_seed55,100,297,567,vi,0.034194,7,1,1,27.759557
medium_n100_s2_a3_case13_seed55,100,297,567,pi,0.168168,5,1,1,27.759557
medium_n100_s2_a3_case13_seed55,100,297,567,dijkstra,0.078358,100,1,1,27.759557
medium_n100_s2_a3_case14_seed56,100,297,567,vi,0.032381,6,1,1,26.997634
medium_n100_s2_a3_case14_seed56,100,297,567,pi,0.168218,5,1,1,26.997634
medium_n100_s2_a3_case14_seed56,100,297,567,dijkstra,0.076815,100,1,1,26.997634
medium_n100_s2_a3_case15_seed57,100,297,567,vi,0.034685,7,1,1,26.741596
medium_n100_s2_a3_case15_seed57,100,297,567,pi,0.167767,5,1,1,26.741596
medium_n100_s2_a3_case15_seed57,100,297,567,dijkstra,0.075693,100,1,1,26.741596
medium_n100_s2_a3_case16_seed58,100,297,567,vi,0.033373,7,1,1,29.167185
medium_n100_s2_a3_case16_seed58,100,297,567,pi,0.138942,4,1,1,29.167185
medium_n100_s2_a3_case16_seed58,100,297,567,dijkstra,0.080922,100,1,1,29.167185
medium_n100_s2_a3_case17_seed59,100,297,567,vi,0.035236,8,1,1,28.616960
medium_n100_s2_a3_case17_seed59,100,297,567,pi,0.166715,5,1,1,28.616960
medium_n100_s2_a3_case17_seed59,100,297,567,dijkstra,0.080181,100,1,1,28.616960
medium_n100_s2_a3_case18_seed60,100,297,567,vi,0.034075,7,1,1,25.539686
medium_n100_s2_a3_case18_seed60,100,297,567,pi,0.200498,6,1,1,25.539686
medium_n100_s2_a3_case18_seed60,100,297,567,dijkstra,0.077005,100,1,1,25.539686
