graph_id,s,policy_type,start_node,policy_valid,status,worst_cost,terminated,steps
medium_n50_s1_a3_case0_seed123,1,baseline_nominal,0,1,ok,17.436222,1,4
medium_n50_s1_a3_case0_seed123,1,baseline_bestcase,0,1,ok,17.436222,1,4
medium_n50_s1_a3_case0_seed123,1,baseline_worst_immediate,0,1,ok,17.436222,1,4
medium_n50_s1_a3_case0_seed123,1,vi,0,1,ok,17.436222,1,4
medium_n50_s1_a3_case10_seed133,1,baseline_nominal,0,1,ok,35.325786,1,4
medium_n50_s1_a3_case10_seed133,1,baseline_bestcase,0,1,ok,35.325786,1,4
medium_n50_s1_a3_case10_seed133,1,baseline_worst_immediate,0,1,ok,35.325786,1,4
medium_n50_s1_a3_case10_seed133,1,vi,0,1,ok,35.325786,1,4
medium_n50_s1_a3_case11_seed134,1,baseline_nominal,0,1,ok,4.402633,1,2
medium_n50_s1_a3_case11_seed134,1,baseline_bestcase,0,1,ok,4.402633,1,2
medium_n50_s1_a3_case11_seed134,1,baseline_worst_immediate,0,1,ok,4.402633,1,2
medium_n50_s1_a3_case11_seed134,1,vi,0,1,ok,4.402633,1,2
medium_n50_s1_a3_case12_seed135,1,baseline_nominal,0,1,ok,8.642918,1,2
medium_n50_s1_a3_case12_seed135,1,baseline_bestcase,0,1,ok,8.642918,1,2
medium_n50_s1_a3_case12_seed135,1,baseline_worst_immediate,0,1,ok,8.642918,1,2
medium_n50_s1_a3_case12_seed135,1,vi,0,1,ok,8.642918,1,2
medium_n50_s1_a3_case13_seed136,1,baseline_nominal,0,1,ok,13.352935,1,3
medium_n50_s1_a3_case13_seed136,1,baseline_bestcase,0,1,ok,13.352935,1,3
medium_n50_s1_a3_case13_seed136,1,baseline_worst_immediate,0,1,ok,13.352935,1,3
medium_n50_s1_a3_case13_seed136,1,vi,0,1,ok,13.352935,1,3
medium_n50_s1_a3_case14_seed137,1,baseline_nominal,0,1,ok,23.545003,1,4
medium_n50_s1_a3_case14_seed137,1,baseline_bestcase,0,1,ok,23.545003,1,4
