s,policy_type,cases,valid_count,valid_rate,terminated_count,terminated_rate,avg_worst_cost,avg_steps
1,baseline_bestcase,20,20,1.000000,20,1.000000,17.790158,3.200000
1,baseline_nominal,20,20,1.000000,20,1.000000,17.790158,3.200000
1,baseline_worst_immediate,20,20,1.000000,20,1.000000,17.790158,3.200000
1,vi,20,20,1.000000,20,1.000000,17.790158,3.200000
2,baseline_bestcase,20,20,1.000000,20,1.000000,54.724604,5.400000
2,baseline_nominal,20,20,1.000000,20,1.000000,49.870285,4.900000
2,baseline_worst_immediate,20,20,1.000000,20,1.000000,40.195432,4.950000
2,vi,20,20,1.000000,20,1.000000,34.426304,3.950000
3,baseline_bestcase,20,20,1.000000,20,1.000000,79.304340,6.700000
3,baseline_nominal,20,20,1.000000,20,1.000000,73.700206,6.350000
3,baseline_worst_immediate,20,20,1.000000,20,1.000000,64.224485,6.200000
3,vi,20,20,1.000000,20,1.000000,48.359823,4.900000
4,baseline_bestcase,20,20,1.000000,20,1.000000,95.753991,7.400000
4,baseline_nominal,20,20,1.000000,20,1.000000,82.257480,6.800000
4,baseline_worst_immediate,20,20,1.000000,20,1.000000,82.388515,7.400000
4,vi,20,20,1.000000,20,1.000000,57.743410,5.450000
5,baseline_bestcase,20,20,1.000000,20,1.000000,102.921949,8.150000
5,baseline_nominal,20,20,1.000000,20,1.000000,97.172081,7.950000
5,baseline_worst_immediate,20,20,1.000000,20,1.000000,90.320675,7.900000
5,vi,20,20,1.000000,20,1.000000,66.183944,5.900000
