s,policy_type,cases,valid_count,valid_rate,terminated_count,terminated_rate,avg_worst_cost,avg_steps
1,baseline_bestcase,20,20,1.000000,20,1.000000,15.891661,2.800000
1,baseline_nominal,20,20,1.000000,20,1.000000,15.891661,2.800000
1,baseline_worst_immediate,20,20,1.000000,20,1.000000,15.891661,2.800000
1,vi,20,20,1.000000,20,1.000000,15.891661,2.800000
2,baseline_bestcase,20,20,1.000000,20,1.000000,53.162185,5.550000
2,baseline_nominal,20,20,1.000000,20,1.000000,48.044130,5.300000
2,baseline_worst_immediate,20,20,1.000000,20,1.000000,42.076035,5.450000
2,vi,20,20,1.000000,20,1.000000,35.661723,4.250000
3,baseline_bestcase,20,20,1.000000,20,1.000000,79.942152,6.700000
3,baseline_nominal,20,20,1.000000,20,1.000000,73.870759,6.100000
3,baseline_worst_immediate,20,20,1.000000,20,1.000000,64.716992,6.350000
3,vi,20,20,1.000000,20,1.000000,48.984977,4.900000
4,baseline_bestcase,20,20,1.000000,20,1.000000,90.527246,6.850000
4,baseline_nominal,20,20,1.000000,20,1.000000,87.050975,7.100000
4,baseline_worst_immediate,20,20,1.000000,20,1.000000,77.985335,7.250000
4,vi,20,20,1.000000,20,1.000000,57.829292,5.600000
5,baseline_bestcase,20,20,1.000000,20,1.000000,102.228906,7.900000
5,baseline_nominal,20,20,1.000000,20,1.000000,96.753060,7.550000
5,baseline_worst_immediate,20,20,1.000000,20,1.000000,99.194495,8.400000
5,vi,20,20,1.000000,20,1.000000,67.982757,6.450000
