graph_id,s,policy_type,start_node,policy_valid,status,worst_cost,terminated,steps
trap_case0_seed42,2,baseline_nominal,0,0,algorithm_not_converged,inf,0,0
trap_case0_seed42,2,baseline_bestcase,0,0,algorithm_not_converged,inf,0,0
trap_case0_seed42,2,baseline_worst_immediate,0,0,algorithm_not_converged,inf,0,0
trap_case0_seed42,2,vi,0,1,ok,11.855302,1,1
trap_case10_seed52,2,baseline_nominal,0,0,algorithm_not_converged,inf,0,0
trap_case10_seed52,2,baseline_bestcase,0,0,algorithm_not_converged,inf,0,0
trap_case10_seed52,2,baseline_worst_immediate,0,1,ok,14.276366,1,1
trap_case10_seed52,2,vi,0,1,ok,14.276366,1,1
trap_case11_seed53,2,baseline_nominal,0,0,algorithm_not_converged,inf,0,0
trap_case11_seed53,2,baseline_bestcase,0,0,algorithm_not_converged,inf,0,0
trap_case11_seed53,2,baseline_worst_immediate,0,0,algorithm_not_converged,inf,0,0
trap_case11_seed53,2,vi,0,1,ok,13.948506,1,1
trap_case12_seed54,2,baseline_nominal,0,0,algorithm_not_converged,inf,0,0
trap_case12_seed54,2,baseline_bestcase,0,0,algorithm_not_converged,inf,0,0
trap_case12_seed54,2,baseline_worst_immediate,0,1,ok,28.235769,1,1
trap_case12_seed54,2,vi,0,1,ok,28.235769,1,1
trap_case13_seed55,2,baseline_nominal,0,0,algorithm_not_converged,inf,0,0
trap_case13_seed55,2,baseline_bestcase,0,0,algorithm_not_converged,inf,0,0
trap_case13_seed55,2,baseline_worst_immediate,0,0,algorithm_not_converged,inf,0,0
trap_case13_seed55,2,vi,0,1,ok,18.142001,1,1
trap_case14_seed56,2,baseline_nominal,0,0,algorithm_not_converged,inf,0,0
trap_case14_seed56,2,baseline_bestcase,0,0,algorithm_not_converged,inf,0,0
trap_case14_seed56,2,baseline_worst_immediate,0,1,ok,19.649773,1,1
trap_case14_seed56,2,vi,0,1,ok,19.649773,1,1
trap_case15_seed57,2,baseline_nominal,0,0,algorithm_not_converged,inf,0,0
trap_case15_seed57,2,baseline_bestcase,0,0,algorithm_not_converged,inf,0,0
trap_case15_seed57,2,baseline_worst_immediate,0,0,algorithm_not_converged,inf,0,0
trap_case15_seed57,2,vi,0,1,ok,13.085939,1,1
trap_case16_seed58,2,baseline_nominal,0,0,algorithm_not_converged,inf,0,0
trap_case16_seed58,2,baseline_bestcase,0,0,algorithm_not_converged,inf,0,0
